"TEXT","DISEASE","TREATMENT"
"The rationale of extended resection for complicated cancer of the large bowel .","['complicated cancer of the large bowel']","['extended resection']"
"Medical treatment of stone disease .","['stone disease']","['Medical treatment']"
"Surgical treatment of urinary stones .","['urinary stones']","['Surgical treatment']"
"Hyperbaric oxygen , whole-body X irradiation , and cyclophosphamide combination therapy in mouse leukemia L1210 .","['mouse leukemia L1210']","['Hyperbaric oxygen , whole-body X irradiation , and cyclophosphamide combination therapy']"
"Possibilities of surgical correction of malformations of the bones of the foot .","['malformations of the bones of the foot']","['surgical correction']"
"Fish protein concentrates in the treatment of kwashiorkor .","['kwashiorkor']","['Fish protein concentrates']"
"Treatment of cavernous hemangiomas with the YAG laser .","['cavernous hemangiomas']","['neodymium : YAG laser']"
"Issues regarding antiretroviral treatment for patients with HIV-1 infection .","['HIV-1 infection']","['antiretroviral treatment']"
"Treatment of verruca vulgaris with topical cidofovir .","['verruca vulgaris']","['topical cidofovir']"
"Elective surgery for colorectal cancer in the a clinical-economical evaluation .","['colorectal cancer']","['Elective surgery']"
"Elective surgery for gastrointestinal tumours in the elderly .","['gastrointestinal tumours']","['Elective surgery']"
"Randomised double-blind trial of fixed low-dose warfarin with aspirin after myocardial infarction .","['myocardial infarction']","['warfarin with aspirin']"
"Randomised trial of roxithromycin in non-Q-wave coronary ROXIS Pilot Study .","['non-Q-wave coronary syndromes']","['roxithromycin']"
"Randomised study of radical surgery versus radiotherapy for stage Ib-IIa cervical cancer .","['stage Ib-IIa cervical cancer']","['radical surgery versus radiotherapy']"
"Another use of treatment of anemia of end-stage renal disease .","['anemia of end-stage renal disease']","['androgens']"
"Antimicrobial therapy in neutropenia .","['neutropenia']","['Antimicrobial therapy']"
"Moxonidine for hypertension .","['hypertension']","['Moxonidine']"
"Chemotherapy with praziquantel has the potential to reduce the prevalence of Echinococcus multilocularis in wild foxes ( Vulpes vulpes ) .","['Echinococcus multilocularis']","['Chemotherapy with praziquantel']"
"Randomised placebo-controlled trial of granulocyte-colony stimulating factor in diabetic foot infection .","['diabetic foot infection']","['granulocyte-colony stimulating factor']"
"A comparison of continuous infusion of alteplase with double-bolus administration for acute myocardial infarction .","['acute myocardial infarction']","['continuous infusion of alteplase with double-bolus administration']"
"Antibiotic management of sore throat .","['sore throat']","['Antibiotic management']"
"Cancer therapy and tumor physiology .","['Cancer']","['therapy']"
"Phototherapeutic keratectomy in recurrent corneal erosions refractory to other forms of treatment .","['recurrent corneal erosions']","['Phototherapeutic keratectomy']"
"Arthrodesis of the first metatarsophalangeal joint to salvage failed silicone implant arthroplasty .","['failed silicone implant arthroplasty']","['Arthrodesis of the first metatarsophalangeal joint']"
"Ropinirole for the treatment of early Parkinson 's disease .","[""early Parkinson 's disease""]","['Ropinirole']"
"Non-steroidal anti-inflammatory therapy for bronchial asthma .","['bronchial asthma']","['Non-steroidal anti-inflammatory therapy']"
"Female Stress Urinary Incontinence Clinical Guidelines Panel summary report on surgical management of female stress urinary incontinence .","['female stress urinary incontinence']","['surgical management']"
"Back from the extracorporeal rewarming of severe accidental hypothermia victims in accident and emergency .","['severe accidental hypothermia']","['extracorporeal rewarming']"
"Randomised controlled trial of magnetic-resonance pelvimetry in breech presentation at term .","['breech presentation at term']","['magnetic-resonance pelvimetry']"
"Role of fine needle aspiration cytology in the management of the discrete parotid lump .","['discrete parotid lump']","['fine needle aspiration cytology']"
"More than 20 years second-look surgery in advanced epithelial ovarian what did we learn ? .","['advanced epithelial ovarian cancer']","['surgery']"
"Microelectrode-guided posteroventral pallidotomy for treatment of Parkinson 's postoperative magnetic resonance imaging analysis .","[""Parkinson 's disease""]","['Microelectrode-guided posteroventral pallidotomy']"
"Follow up after potential curative surgery of colorectal cancer .","['colorectal cancer']","['surgery']"
"Lung volume reduction surgery for emphysema .","['emphysema']","['Lung volume reduction surgery']"
"Shark cartilage for cancer ? .","['cancer']","['Shark cartilage']"
"Testicular sperm retrieval by percutaneous fine needle sperm aspiration compared with testicular sperm extraction by open biopsy in men with non-obstructive azoospermia .","['non-obstructive azoospermia']","['Testicular sperm retrieval by percutaneous fine needle sperm aspiration', 'testicular sperm extraction by open biopsy']"
"The effect of TRK-530 on experimental arthritis in mice .","['arthritis']","['TRK-530']"
"Treatment of men with paraphilia with a long-acting analogue of gonadotropin-releasing hormone .","['paraphilia']","['analogue of gonadotropin-releasing hormone']"
"Homeopathy for postoperative ileus ? A meta-analysis .","['postoperative ileus']","['Homeopathy']"
"Inositol treatment of autism .","['autism']","['Inositol']"
"Role of beta-blockers in the treatment of cardiac insufficiency .","['cardiac insufficiency']","['beta-blockers']"
"Which calcium antagonists for hypertension ? .","['hypertension']","['calcium antagonists']"
"Correct use of serotonin agonists in oral or injectable form ? .","['migraine']","['serotonin agonists']"
"Surgical management of soft tissue principles of resection and reconstructive plastic procedures .","['soft tissue sarcomas']","['Surgical management', 'resection']"
"Adjuvant chemotherapy in early soft tissue sarcoma and palliative chemotherapy in advanced soft tissue sarcoma in adults .","['soft tissue sarcoma', 'soft tissue sarcoma']","['Adjuvant chemotherapy', 'palliative chemotherapy']"
"Radiotherapy of soft tissue sarcomas .","['soft tissue sarcomas']","['Radiotherapy']"
"Case of superficial hemosiderosis of the central nervous system treated with trientine .","['superficial hemosiderosis of the central nervous system']","['trientine']"
"Zinc gluconate lozenges for treating the common cold .","['common cold']","['Zinc gluconate lozenges']"
"Use of protein-C concentrate , heparin , and haemodiafiltration in meningococcus-induced purpura fulminans .","['meningococcus-induced purpura fulminans']","['protein-C concentrate , heparin , and haemodiafiltration']"
"Modulation of ultraviolet light-induced epidermal beneficial effects of tocopherol .","['epidermal damage']","['tocopherol']"
"Use of cisapride in treatment of constipation in children .","['constipation']","['cisapride']"
"Multicenter study of surfactant ( beractant ) use in the treatment of term infants with severe respiratory failure .","['severe respiratory failure']","['surfactant ( beractant )']"
"Resolution of recalcitrant molluscum contagiosum virus lesions in human immunodeficiency virus-infected patients treated with cidofovir .","['recalcitrant molluscum contagiosum virus lesions']","['cidofovir']"
"External beam radiation therapy for choroidal neovascularization .","['choroidal neovascularization']","['External beam radiation therapy']"
"Bolus thrombolytic infusions during CPR for patients with refractory arrest outcome of a case series .","['refractory arrest rhythms']","['Bolus thrombolytic infusions']"
"Use of a nerve stimulator for phrenic nerve block in treatment of hiccups .","['phrenic nerve block', 'hiccups']","['nerve stimulator']"
"Anaesthesia for laparoscopic cholecystectomy in a patient with Eisenmenger 's syndrome .","[""Eisenmenger 's syndrome""]","['laparoscopic cholecystectomy']"
"Clinical evaluation of adjuvant chemoradiotherapy with CDDP , 5-FU , and VP-16 for advanced esophageal cancer .","['advanced esophageal cancer']","['adjuvant chemoradiotherapy with CDDP , 5-FU , and VP-16']"
"New drug treatment for Alzheimer 's lessons for healthcare policy .","[""Alzheimer 's disease""]","['New drug treatment']"
"Simple antiseptic mouthwashes are best for infection .","['infection']","['antiseptic mouthwashes']"
"A comparison of aspirin plus tirofiban with aspirin plus heparin for unstable angina .","['unstable angina']","['aspirin plus tirofiban', 'aspirin plus heparin']"
"Chemotherapy alone compared with chemotherapy plus radiotherapy for localized intermediate- and high-grade non-Hodgkin 's lymphoma .","[""non-Hodgkin 's lymphoma""]","['Chemotherapy alone', 'chemotherapy plus radiotherapy']"
"Treatment of renal failure in idiopathic membranous nephropathy with azathioprine and prednisolone .","['renal failure', 'idiopathic membranous nephropathy']","['azathioprine and prednisolone']"
"Chelation therapy for peripheral arterial occlusive a systematic review .","['peripheral arterial occlusive disease']","['Chelation therapy']"
"Endoscopic ultrasound miniprobe-guided steroid injection for treatment of refractory esophageal strictures .","['refractory esophageal strictures']","['Endoscopic ultrasound miniprobe-guided steroid injection']"
"A systematic review of five systemic treatments for severe psoriasis .","['severe psoriasis']","['systemic treatments']"
"Clinical management and treatment outcomes of Merkel cell carcinoma .","['Merkel cell carcinoma']","['Clinical management']"
"Inhaled sodium cromoglycate in young children with moderate asthma .","['asthma']","['Inhaled sodium cromoglycate']"
"Normoxic cardiopulmonary bypass reduces oxidative myocardial damage and nitric oxide during cardiac operations in the adult .","['oxidative myocardial damage and nitric oxide']","['Normoxic cardiopulmonary bypass']"
"apc is effective for the treatment of endoluminal hemoptysis and airway obstruction .","['endoluminal hemoptysis', 'airway obstruction']","['apc']"
"induction chemotherapy ( cisplatin + vinorelbine ) is found to be markedly effective for squamous cell lung carcinoma with sarcoidosis -- a case report .","['squamous cell lung carcinoma with sarcoidosis']","['induction chemotherapy ( cisplatin + vinorelbine )']"
"the combination of txt , gem and cddp may be effective for recurrent non-small-cell lung carcinoma , even in patients that have failed to respond to more than one chemotherapy regimen .","['recurrent non-small-cell lung carcinoma']","['combination of txt , gem and cddp']"
"the aim of the current study was to compare the objective response and survival rates of patients with mrcc treated with il-2 administered either systemically ( syst , subcutaneously ) or via inhalation ( inh ) , using relatively large sample sizes to afford a more meaningful comparison .","['mrcc']","['il-2']"
"as expected , the type of chemotherapy we used , to treat non-seminomatous germ-cell tumors proved to be highly effective for seminomatous types , as well .","['non-seminomatous germ-cell tumors', 'seminomatous types']","['chemotherapy']"
"carboplatin and ifosfamide performed well and safe , in the treatment of non-bulky metastatic seminoma .","['non-bulky metastatic seminoma']","['carboplatin and ifosfamide']"
"these results suggested that the sp1 decoy strategy would be effective for regulating tumor growth by simultaneously reducing cancer cell ( a ) angiogenic growth factor expression , ( b ) proliferation , and ( c ) invasiveness .","['tumor growth']","['sp1 decoy strategy']"
"considering that hamsters had a lung metastasis rate of 50 % before mdp-lys treatment , liposomal mdp-lys given at a dose of 20 microg twice/week was effective for inhibiting lung metastasis at a far lower dose of mdp-lys than that given as a solution ( 40 microg vs. 350 microg per week ) .","['lung metastasis']","['liposomal mdp-lys']"
"we have documented previously that adenovirus-mediated interleukin 12 ( il-12 ) gene therapy is effective for orthotopic tumor control and suppression of pre-established metastases in a preclinical prostate cancer model ( y. nasu et al. , gene ther .","['orthotopic tumor', 'pre-established metastases in a preclinical prostate cancer model']","['adenovirus-mediated interleukin 12 ( il-12 ) gene therapy']"
"we further developed a vaccine model based on s.c.injection of infected , irradiated rm-9 cells and found that both admil-12 and admil-12/b7 are effective at suppressing the development and growth of challenge orthotopic tumors using this protocol .","['challenge orthotopic tumors']","['admil-12 and admil-12/b7']"
"despite the marked toxicity of the initial intensive chemotherapy , the treatments are tolerable and effective in the control of extra-thoracic micrometastases , whereas they are less effective for thoracic primary tumor .","['extra-thoracic micrometastases']","['intensive chemotherapy']"
"radiotherapy is effective for palliation of symptoms associated with sblc .","['symptoms associated with sblc']","['radiotherapy']"
"clinically , oral administration of uft has proved to be effective as an adjuvant therapy after surgery for some malignant tumors such as non-small cell lung cancer .","['malignant tumors such as non-small cell lung cancer']","['oral administration of uft', 'adjuvant therapy']"
"moreover , uft has proved to be effective for inoperable advanced malignancies such as colorectal cancer , especially in combination with leucovorin or cisplatin .","['inoperable advanced malignancies such as colorectal cancer']","['uft', 'leucovorin or cisplatin']"
"a phase ii study of fractionated administration of irinotecan ( cpt-11 ) and cisplatin ( cddp ) in patients with non-small-cell lung cancer ( nsclc ) was conducted .","['non-small-cell lung cancer ( nsclc )']","['irinotecan ( cpt-11 ) and cisplatin ( cddp )']"
"in conclusion , fractionated administration of cpt-11 and cddp was highly effective for advanced nsclc with manageable toxicities .","['advanced nsclc']","['cpt-11 and cddp']"
"we report the use of paclitaxel in the successful treatment of a patient with recurrent adenocarcinoma of the cervix .","['recurrent adenocarcinoma of the cervix']","['paclitaxel']"
"weekly paclitaxel was very well tolerated , yet was effective for recurrent cervical adenocarcinoma .","['recurrent cervical adenocarcinoma']","['paclitaxel']"
"our results suggest that pseudoephedrine plus acetaminophen is effective for relief of symptoms attributable to the paranasal sinuses that may develop early in the course of a cold .","['symptoms attributable to the paranasal sinuses']","['pseudoephedrine plus acetaminophen']"
"reviewer 's a single dose of nasal decongestant in the common cold is moderately effective for the short term relief of congestion in adults , while there is no evidence available to show benefit after repeated use over several days .","['congestion']","['nasal decongestant']"
"members of an ethnically diverse community believe antibiotics are effective for colds , are very likely to seek care for colds , and often obtain antibiotics without a prescription .","['colds']","['antibiotics']"
"intravenous injection of pb2-as , as a complex with dmrie-c , a cationic liposome , was most effective for prolonging the mean survival time in days ( msds ) and increasing the survival rates of mice infected with the influenza a virus .","['influenza a virus']","['intravenous injection of pb2-as , as a complex with dmrie-c , a cationic liposome']"
"background and thoracic paravertebral block ( tpvb ) is a unilateral analgesic technique that has been advocated in both acute and chronic thoracic and abdominal pain .","['acute and chronic thoracic and abdominal pain']","['thoracic paravertebral block ( tpvb )']"
"other blocks such as interpleural and epidural can be effectively used in pleuritic pain .","['pleuritic pain']","['other blocks such as interpleural and epidural']"
"this report illustrates that tpvb could also be effective for this kind of pain .","['pain']","['tpvb']"
"this case report supports the notion that , in practice , the paravertebral block could be an effective and safe alternative to relief of pleuritic pain .","['pleuritic pain']","['the paravertebral block']"
"mr-guided rfa using single cooled tip electrodes is safe and technically effective for treatment of hepatic neoplasms up to 3 cm in size , however further improvements are necessary .","['hepatic neoplasms']","['mr-guided rfa using single cooled tip electrodes']"
"a 68-year-old man underwent curative pancreaticoduodenectomy for bile duct cancer .","['bile duct cancer']","['curative pancreaticoduodenectomy']"
"one course of chronochemotherapy was effective for lymph node and peritoneum metastases .","['lymph node and peritoneum metastases']","['chronochemotherapy']"
"the only specific antidote for dosage-dependent hepatotoxicity is n-acetylcysteine ( and some other sulfhydryl donors ) , which is highly effective for the prevention of significant hepatotoxicity after acetaminophen overdose .","['dosage-dependent hepatotoxicity']","['n-acetylcysteine ( and some other sulfhydryl donors )']"
"corticosteroids can be considered for cases of drug-induced hepatitis , especially those with evidence of immune hypersensitivity , if no improvement is seen in 8 to 12 weeks .","['drug-induced hepatitis']","['corticosteroids']"
"our conclusion was that the covered-ems can be effective for the palliation of esophagorespiratory fistulas .","['esophagorespiratory fistulas']","['covered-ems']"
"only the combination of a cell wall-active antibiotic to which the enterococcus is susceptible ( ie , certain beta-lactams or vancomycin ) plus an aminoglycoside ( ie , gentamicin or streptomycin ) is bactericidal , and is required for cure of endocarditis , meningitis and probably infection in neutropenic patients ; bacteriostatic activity is sufficient to treat most other infections .","['endocarditis , meningitis and probably infection in neutropenic patients']","['combination of a cell wall-active antibiotic to which the enterococcus is susceptible ( ie , certain beta-lactams or vancomycin ) plus an aminoglycoside ( ie , gentamicin or streptomycin )']"
"two triazole antifungal agents , fluconazole and itraconazole , were introduced over a decade ago and since then have been used extensively for the prophylaxis and treatment of a variety of fungal infections .","['fungal infections']","['two triazole antifungal agents , fluconazole and itraconazole']"
"the use of topical corticosteroids has revolutionised the treatment of inflammatory skin diseases .","['inflammatory skin diseases']","['topical corticosteroids']"
"in particular , tacrolimus and ascomycin derivatives have been shown to be effective for treating atopic dermatitism with a surprising lack of side effects .","['atopic dermatitism']","['tacrolimus and ascomycin derivatives']"
"cyclophosphamide therapy is effective for bronchiolitis obliterans occurring as a late manifestation of lupus erythematosus ( letter ) .","['bronchiolitis obliterans occurring as a late manifestation of lupus erythematosus']","['cyclophosphamide therapy']"
"in summary , gemifloxacin was found to be well tolerated and effective for the treatment of aecb , suggesting it is well suited for empirical treatment of this common respiratory condition in the current clinical environment .","['aecb']","['gemifloxacin']"
"d-penicillamine ( 2-amino-3-mercapto-3-methylbutanoic acid ) , a well-known heavy metal chelator , is the drug of choice in the treatment of wilson 's disease and is also effective for the treatment of several disorders including rheumatoid arthritis , primary biliary cirrhosis , scleroderma , fibrotic lung diseases and progressive systemic sclerosis .","[""wilson 's disease"", 'several disorders including rheumatoid arthritis , primary biliary cirrhosis , scleroderma , fibrotic lung diseases and progressive systemic sclerosis']","['d-penicillamine ( 2-amino-3-mercapto-3-methylbutanoic acid ) , a well-known heavy metal chelator']"
"stages of non-small cell lung cancer ( nsclc ) that are potential candidates for surgical resection have been treated in several surgery alone is curative in only two-thirds of cases and post-operative radiotherapy ( rt ) provides only weak control of advanced-stage disease .","['non-small cell lung cancer ( nsclc )']","['surgical resection', 'surgery', 'post-operative radiotherapy ( rt )']"
"among these , the gemcitabine/cisplatin study protocol ( gc , set up in a phase ii study for patients with stage iiia n2 nsclc , was very effective ( objective response ( or ) 70.2 % ; median 19 months ) and should be promising for stages ib and ii .","['stage iiia n2 nsclc']","['gemcitabine/cisplatin']"
"several studies have suggested that non-small cell lung cancer ( nsclc ) patients whose tumors have neuroendocrine ( ne ) features may be more responsive to chemotherapy in addition , increased expression of p53 and her2 may confer relative chemotherapy resistance and shortened survival .","['non-small cell lung cancer ( nsclc )']","['chemotherapy']"
"the cancer and leukemia group b performed a series of studies involving sequential chemotherapy followed by radiation for patients with unresectable stage iii nsclc .","['unresectable stage iii nsclc']","['sequential chemotherapy followed by radiation']"
"this london lung cancer group trial of gemcitabine/carboplatin may define an active , safe , and acceptable treatment for patients with extensive-stage and poor-prognosis small cell lung cancer .","['small cell lung cancer']","['gemcitabine/carboplatin']"
"gemcitabine and carboplatin for patients with advanced non-small cell lung cancer .","['advanced non-small cell lung cancer']","['gemcitabine and carboplatin']"
"an aggressive surgical approach is justified in patients with mplc and offers the greatest chance for long-term survival even in the case of limited resection .","['mplc']","['an aggressive surgical approach']"
"methods and eleven patients with small cell lung cancer ( sclc ) , who had presented complete response of disease after chemotherapy and radical radiotherapy in the lung , were prescribed to receive a prophylacting cranial irradiation ( pci ) with a 6 mev linear accelerator .","['small cell lung cancer ( sclc )']","['chemotherapy', 'radical radiotherapy in the lung']"
"only 22 patients ( 10 % ) were alive at five 19 patients with nsclc who had got surgical treatment , one patient with nsclc ( stage iiib ) who had recieved radiotherapy , and two patients with sclc , limited disease , treated with chemo- and radiotherapy .","['nsclc', 'nsclc ( stage iiib )', 'sclc , limited disease']","['surgical treatment', 'radiotherapy', 'chemo- and radiotherapy']"
"five new agents , paclitaxel , docetaxel , vinorelbine , gemcitabine and irinotecan , have been introduced for the treatment of nsclc and investigated extensively both preclinically and clinically .","['nsclc']","['paclitaxel', 'docetaxel', 'vinorelbine', 'gemcitabine', 'irinotecan']"
"whether the era of platinum-based chemotherapy in the treatment of nsclc should continue or not must be determined by phase iii trials , evaluating the use of a platinum agent with one of the new agent combinations .","['nsclc']","['platinum-based chemotherapy']"
"these aggressive chemotherapeutic combinations will hopefully improve survival and quality of life for patients with advanced nsclc .","['advanced nsclc']","['aggressive chemotherapeutic combinations']"
"we have performed 60 carinal resections for bronchogenic 18 isolated carinal resections for tumor confined to the carinal or proximal main stem bronchus ; 35 carinal pneumonectomies ; 5 carinal plus lobar resections , and 2 carinal resections for stump recurrence after prior pneumonectomy .","['bronchogenic carcinoma', 'tumor confined to the carinal or proximal main stem bronchus', 'stump recurrence after prior pneumonectomy']","['carinal resections', 'isolated carinal resections', 'carinal pneumonectomies', 'carinal plus lobar resections', 'carinal resections']"
"this constitutes one of the largest single-institution reports on carinal resection for bronchogenic carcinoma involving the carina .","['bronchogenic carcinoma involving the carina']","['carinal resection']"
"extracorporeal photopheresis has evolved as a possible therapy for patients with acute nd chronic lung allograft rejection .","['acute nd chronic lung allograft rejection']","['extracorporeal photopheresis']"
